Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
SIP,2015-01-25,8808.9,10000,1.1352155206665986,1831.4431994914235,10000,1831.4431994914235,Nifty,2015
SIP,2015-02-22,8844.6,10000,1.1306333808199354,1824.0508332768018,20000,3655.494032768225,Nifty,2015
SIP,2015-03-29,8586.25,10000,1.164652787887611,1878.9343426990827,30000,5534.428375467308,Nifty,2015
SIP,2015-04-26,8181.5,10000,1.2222697549349142,1971.887795636497,40000,7506.316171103806,Nifty,2015
SIP,2015-05-31,8114.7,10000,1.2323314478662182,1988.1203248425697,50000,9494.436495946375,Nifty,2015
SIP,2015-06-28,8484.9,10000,1.1785642730026282,1901.37774163514,60000,11395.814237581515,Nifty,2015
SIP,2015-07-26,8532.85,10000,1.1719413794921978,1890.6930275347627,70000,13286.507265116277,Nifty,2015
SIP,2015-08-30,7655.05,10000,1.3063271957727252,2107.4976649401374,80000,15394.004930056417,Nifty,2015
SIP,2015-09-27,7950.9,10000,1.2577192519085891,2029.0784691041267,90000,17423.083399160543,Nifty,2015
SIP,2015-10-25,8065.8,10000,1.2398026234223511,2000.1735723672791,100000,19423.256971527822,Nifty,2015
SIP,2015-11-29,7781.9,10000,1.285033218108688,2073.1440907747465,110000,21496.40106230257,Nifty,2015
SIP,2015-12-27,7963.2,10000,1.2557765722322685,2025.9443439823187,120000,23522.345406284887,Nifty,2015
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,30000,6386.123656734767,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,40000,8338.857641665321,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,50000,10291.591626595875,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,60000,12244.325611526428,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,70000,14197.059596456982,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,80000,16149.793581387537,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,90000,18102.52756631809,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,100000,20055.261551248645,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,110000,22007.995536179198,Nifty,2016
DEC_FILL,2016-12-04,8261.75,10000,1.2103973129179653,1952.7339849305533,120000,23960.72952110975,Nifty,2016
DIP,2016-01-03,7601.35,10000,1.3155557894321404,2122.386155090872,20000,4433.389671804213,Nifty,2016
DIP,2016-02-07,6980.95,10000,1.4324697927932446,2311.0035167133415,10000,2311.0035167133415,Nifty,2016
SIP,2016-01-31,7489.1,10000,1.3352739314470363,2154.1974336035037,10000,2154.1974336035037,Nifty,2016
SIP,2016-02-28,7485.35,10000,1.3359428750826614,2155.2766403708574,20000,4309.474073974361,Nifty,2016
SIP,2016-03-27,7713.05,10000,1.2965039770259494,2091.649866135964,30000,6401.123940110325,Nifty,2016
SIP,2016-04-24,7849.8,10000,1.2739178068231038,2055.2115977477133,40000,8456.335537858038,Nifty,2016
SIP,2016-05-29,8220.8,10000,1.2164266251459712,1962.4610743479952,50000,10418.796612206032,Nifty,2016
SIP,2016-06-26,8328.35,10000,1.20071802938157,1937.118396801287,60000,12355.91500900732,Nifty,2016
SIP,2016-07-31,8683.15,10000,1.1516557931165534,1857.9662910349355,70000,14213.881300042254,Nifty,2016
SIP,2016-08-28,8809.65,10000,1.1351188753242183,1831.2872815605613,80000,16045.168581602817,Nifty,2016
SIP,2016-09-25,8611.15,10000,1.1612850780673893,1873.501216446119,90000,17918.669798048937,Nifty,2016
