Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,80000,5420.010457007769,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,90000,5985.49512347008,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,100000,6550.979789932392,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,110000,7116.464456394704,Sensex,2006
DEC_FILL,2006-12-03,13799.49,10000,0.7246644622373726,565.4846664623113,120000,7681.949122857015,Sensex,2006
SIP,2005-01-30,6618.23,10000,1.5109780107370099,1179.0765808985184,10000,1179.0765808985184,Sensex,2005
SIP,2005-02-27,6849.48,10000,1.4599648440465554,1139.2689664032891,20000,2318.3455473018075,Sensex,2005
SIP,2005-03-27,6605.04,10000,1.5139953732301394,1181.4311495464071,30000,3499.776696848214,Sensex,2005
SIP,2005-04-24,6154.44,10000,1.6248432026309463,1267.9301447410326,40000,4767.706841589246,Sensex,2005
SIP,2005-05-29,6748.85,10000,1.4817339250390806,1156.2562510649961,50000,5923.963092654242,Sensex,2005
SIP,2005-06-26,7210.77,10000,1.3868144456139913,1082.186784490422,60000,7006.149877144665,Sensex,2005
SIP,2005-07-31,7754.0,10000,1.2896569512509672,1006.3709053391798,70000,8012.520782483844,Sensex,2005
SIP,2005-08-28,7899.77,10000,1.2658596389515138,987.8009106594243,80000,9000.321693143267,Sensex,2005
SIP,2005-09-25,8634.48,10000,1.1581473348713531,903.7486912935117,90000,9904.07038443678,Sensex,2005
SIP,2005-10-30,8072.75,10000,1.238735251308414,966.6346660060078,100000,10870.705050442788,Sensex,2005
SIP,2005-11-27,8961.61,10000,1.1158709205153985,870.7587141149861,110000,11741.463764557773,Sensex,2005
SIP,2005-12-25,9397.93,10000,1.0640641077343627,830.3317858294326,120000,12571.795550387207,Sensex,2005
DIP,2005-10-23,7685.64,10000,1.301127817592289,1015.3220811799667,10000,1015.3220811799667,Sensex,2005
DIP,2005-10-09,8201.73,10000,1.2192549620628819,951.4334170961492,20000,1966.755498276116,Sensex,2005
DIP,2005-04-24,6154.44,10000,1.6248432026309463,1267.9301447410326,30000,3234.685643017149,Sensex,2005
DIP,2005-04-10,6248.34,10000,1.600425072899362,1248.8757013862883,40000,4483.561344403438,Sensex,2005
DIP,2005-03-20,6442.87,10000,1.5521033328314866,1211.1683147417223,50000,5694.7296591451595,Sensex,2005
DIP,2005-01-09,6173.82,10000,1.6197427200663448,1263.9500341765715,60000,6958.679693321731,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,70000,7819.290593172624,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,80000,8679.901493023517,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,90000,9540.512392874409,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,100000,10401.123292725302,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,110000,11261.734192576196,Sensex,2005
DEC_FILL,2005-12-04,9067.28,10000,1.1028665707907994,860.6108998508925,120000,12122.34509242709,Sensex,2005
SIP,2004-01-25,5695.67,10000,1.75571969583912,1370.058307451099,10000,1370.058307451099,Sensex,2004
SIP,2004-02-29,5880.35,10000,1.7005790471655597,1327.029853665173,20000,2697.0881611162717,Sensex,2004
SIP,2004-03-28,5788.08,10000,1.727688629044519,1348.1845447886,30000,4045.272705904872,Sensex,2004
SIP,2004-04-25,5655.09,10000,1.7683184529335518,1379.8896215621678,40000,5425.16232746704,Sensex,2004
SIP,2004-05-30,4889.0,10000,2.045408058907752,1596.1137246880753,50000,7021.276052155115,Sensex,2004
SIP,2004-06-27,4870.58,10000,2.0531435681171444,1602.1500519445326,60000,8623.426104099648,Sensex,2004
SIP,2004-07-25,5170.32,10000,1.9341162635968374,1509.2682851351562,70000,10132.694389234804,Sensex,2004
SIP,2004-08-29,5218.46,10000,1.9162741498449734,1495.3453700900266,80000,11628.03975932483,Sensex,2004
SIP,2004-09-26,5675.54,10000,1.7619468808254368,1374.9176289833215,90000,13002.957388308154,Sensex,2004
SIP,2004-10-31,5891.36,10000,1.6974009396811602,1324.5498492707966,100000,14327.50723757895,Sensex,2004
SIP,2004-11-28,6322.76,10000,1.581587787611739,1234.1762141849445,110000,15561.683451763894,Sensex,2004
SIP,2004-12-26,6602.69,10000,1.5145342277162794,1181.8516392561216,120000,16743.535091020014,Sensex,2004
DIP,2004-05-09,5069.87,10000,1.972437163083077,1539.1716158402485,10000,1539.1716158402485,Sensex,2004
DIP,2004-04-25,5655.09,10000,1.7683184529335518,1379.8896215621678,20000,2919.0612374024163,Sensex,2004
DIP,2004-03-14,5443.44,10000,1.8370736152139089,1433.5420248960218,30000,4352.6032622984385,Sensex,2004
