"Date","Price","Open","High","Low","Vol.","Change %"
"18-05-2014","8,668.32","8,668.32","8,668.32","8,668.32","483.52K","11.62%"
"11-05-2014","7,765.72","7,765.72","7,765.72","7,765.72","270.09K","4.15%"
"04-05-2014","7,456.09","7,456.09","7,456.09","7,456.09","266.11K","1.34%"
"27-04-2014","7,357.46","7,357.46","7,357.46","7,357.46","244.50K","-0.22%"
"20-04-2014","7,373.64","7,373.64","7,373.64","7,373.64","176.86K","0.47%"
"13-04-2014","7,339.29","7,339.29","7,339.29","7,339.29","240.65K","0.01%"
"06-04-2014","7,338.46","7,338.46","7,338.46","7,338.46","331.92K","1.96%"
"30-03-2014","7,197.62","7,197.62","7,197.62","7,197.62","376.38K","2.67%"
"23-03-2014","7,010.29","7,010.29","7,010.29","7,010.29","204.17K","3.55%"
"16-03-2014","6,769.94","6,769.94","6,769.94","6,769.94","234.28K","1.71%"
"09-03-2014","6,656.18","6,656.18","6,656.18","6,656.18","254.14K","-0.56%"
"02-03-2014","6,693.44","6,693.44","6,693.44","6,693.44","141.88K","2.97%"
"23-02-2014","6,500.42","6,500.42","6,500.42","6,500.42","153.62K","1.22%"
"16-02-2014","6,422.05","6,422.05","6,422.05","6,422.05","157.03K","1.75%"
"09-02-2014","6,311.88","6,311.88","6,311.88","6,311.88","174.57K","-0.39%"
"02-02-2014","6,336.84","6,336.84","6,336.84","6,336.84","192.94K","0.46%"
"26-01-2014","6,308.05","6,308.05","6,308.05","6,308.05","168.60K","-2.28%"
"19-01-2014","6,455.26","6,455.26","6,455.26","6,455.26","174.58K","-0.49%"
"12-01-2014","6,487.03","6,487.03","6,487.03","6,487.03","244.48K","-1.43%"
"05-01-2014","6,581.22","6,581.22","6,581.22","6,581.22","246.11K","-1.17%"
"29-12-2013","6,659.18","6,659.18","6,659.18","6,659.18","210.84K","-0.07%"
"22-12-2013","6,663.76","6,663.76","6,663.76","6,663.76","197.97K","2.48%"
"15-12-2013","6,502.49","6,502.49","6,502.49","6,502.49","192.70K","3.17%"
"08-12-2013","6,302.50","6,302.50","6,302.50","6,302.50","221.37K","-1.35%"
"01-12-2013","6,388.98","6,388.98","6,388.98","6,388.98","218.65K","1.00%"
"24-11-2013","6,325.58","6,325.58","6,325.58","6,325.58","221.19K","2.78%"
"17-11-2013","6,154.28","6,154.28","6,154.28","6,154.28","175.96K","0.22%"
"10-11-2013","6,141.05","6,141.05","6,141.05","6,141.05","215.15K","-1.13%"
"03-11-2013","6,210.94","6,210.94","6,210.94","6,210.94","250.34K","0.54%"
"27-10-2013","6,177.40","6,177.40","6,177.40","6,177.40","242.67K","3.55%"
"20-10-2013","5,965.48","5,965.48","5,965.48","5,965.48","174.04K","1.19%"
"13-10-2013","5,895.23","5,895.23","5,895.23","5,895.23","250.63K","0.42%"
"06-10-2013","5,870.60","5,870.60","5,870.60","5,870.60","143.29K","2.44%"
"29-09-2013","5,731.01","5,731.01","5,731.01","5,731.01","165.91K","1.94%"
"22-09-2013","5,621.77","5,621.77","5,621.77","5,621.77","237.94K","-0.98%"
"15-09-2013","5,677.24","5,677.24","5,677.24","5,677.24","242.44K","0.85%"
"08-09-2013","5,629.15","5,629.15","5,629.15","5,629.15","224.97K","3.27%"
"01-09-2013","5,451.01","5,451.01","5,451.01","5,451.01","226.02K","2.84%"
"25-08-2013","5,300.40","5,300.40","5,300.40","5,300.40","229.34K","-1.09%"
"18-08-2013","5,358.75","5,358.75","5,358.75","5,358.75","218.10K","-1.48%"
"11-08-2013","5,439.05","5,439.05","5,439.05","5,439.05","221.75K","0.55%"
"04-08-2013","5,409.14","5,409.14","5,409.14","5,409.14","298.88K","-0.37%"
"28-07-2013","5,429.04","5,429.04","5,429.04","5,429.04","208.29K","-6.07%"
"21-07-2013","5,779.60","5,779.60","5,779.60","5,779.60","212.84K","-3.57%"
"14-07-2013","5,993.46","5,993.46","5,993.46","5,993.46","175.82K","-0.91%"
"07-07-2013","6,048.41","6,048.41","6,048.41","6,048.41","217.11K","0.94%"
"30-06-2013","5,991.99","5,991.99","5,991.99","5,991.99","233.00K","0.46%"
"23-06-2013","5,964.50","5,964.50","5,964.50","5,964.50","220.63K","-1.21%"
"16-06-2013","6,037.60","6,037.60","6,037.60","6,037.60","283.54K","-2.32%"
"09-06-2013","6,180.98","6,180.98","6,180.98","6,180.98","221.57K","-3.24%"
"02-06-2013","6,388.02","6,388.02","6,388.02","6,388.02","303.03K","-0.02%"
"26-05-2013","6,389.47","6,389.47","6,389.47","6,389.47","280.86K","0.04%"
"19-05-2013","6,387.13","6,387.13","6,387.13","6,387.13","265.64K","-3.43%"
"12-05-2013","6,613.98","6,613.98","6,613.98","6,613.98","282.66K","1.45%"
"05-05-2013","6,519.29","6,519.29","6,519.29","6,519.29","213.76K","2.25%"
"28-04-2013","6,375.97","6,375.97","6,375.97","6,375.97","249.59K","1.61%"
