"Date","Price","Open","High","Low","Vol.","Change %"
"15-12-2019","28,406.25","28,095.90","28,436.35","27,896.00","2.06B","1.17%"
"08-12-2019","28,076.70","27,870.30","28,102.00","27,347.30","2.31B","0.80%"
"01-12-2019","27,854.05","28,581.05","28,611.35","27,741.55","4.80B","-2.43%"
"24-11-2019","28,546.45","28,090.05","28,906.60","28,084.35","4.82B","1.74%"
"17-11-2019","28,059.20","28,262.15","28,360.80","27,972.15","5.82B","-0.48%"
"10-11-2019","28,195.55","28,323.90","28,746.45","28,077.95","2.78B","-0.68%"
"03-11-2019","28,387.25","28,760.05","28,913.90","28,292.60","2.26B","-1.11%"
"27-10-2019","28,706.55","28,145.40","28,953.70","28,049.95","3.02B","2.67%"
"20-10-2019","27,959.55","28,088.00","28,379.95","27,767.75","2.41B","-0.19%"
"13-10-2019","28,014.15","26,679.60","28,065.10","26,622.70","2.16B","5.32%"
"06-10-2019","26,598.60","26,651.80","26,699.10","26,169.05","1.89B","-0.31%"
"29-09-2019","26,681.60","27,794.40","27,807.70","26,641.10","1.93B","-4.09%"
"22-09-2019","27,818.10","27,841.70","28,152.15","27,408.60","1.72B","1.50%"
"15-09-2019","27,406.85","26,282.15","27,476.35","25,812.05","1.99B","3.58%"
"08-09-2019","26,460.10","26,048.65","26,495.85","25,970.40","1.14B","1.56%"
"01-09-2019","26,053.95","26,259.85","26,310.35","25,511.95","986.41M","-1.33%"
"25-08-2019","26,405.05","25,749.00","26,457.20","25,174.25","1.99B","4.18%"
"18-08-2019","25,345.10","26,078.40","26,266.05","24,873.25","1.72B","-2.52%"
"11-08-2019","25,999.60","26,228.30","26,228.90","25,553.65","1.17B","-0.90%"
"04-08-2019","26,236.60","25,639.60","26,443.00","25,337.80","1.62B","1.65%"
"28-07-2019","25,811.25","26,532.30","26,559.05","25,336.70","2.42B","-2.80%"
"21-07-2019","26,553.90","26,615.55","26,752.00","26,064.95","1.18B","-0.38%"
"14-07-2019","26,656.15","27,039.60","27,547.50","26,598.30","945.63M","-1.21%"
"07-07-2019","26,983.65","27,206.80","27,216.15","26,607.20","898.19M","-1.44%"
"30-06-2019","27,378.00","27,436.85","27,877.00","27,297.85","1.02B","0.17%"
"23-06-2019","27,332.50","26,981.70","27,492.25","26,811.60","1.13B","1.51%"
"16-06-2019","26,926.20","27,072.15","27,087.65","26,392.90","1.05B","-0.62%"
"09-06-2019","27,093.00","27,490.20","27,645.05","27,025.05","881.08M","-1.06%"
"02-06-2019","27,382.75","27,943.95","28,218.25","27,127.65","920.66M","-1.64%"
"26-05-2019","27,839.50","27,496.55","27,964.65","27,415.05","1.82B","0.97%"
"19-05-2019","27,572.65","26,828.95","27,626.65","26,655.30","1.72B","5.13%"
"12-05-2019","26,226.50","26,507.40","26,520.15","25,729.05","1.69B","-1.25%"
"05-05-2019","26,558.95","27,345.95","27,426.25","26,463.65","1.36B","-3.55%"
"28-04-2019","27,537.75","27,888.55","27,921.55","27,486.05","682.83M","-1.37%"
"21-04-2019","27,921.05","28,317.15","28,326.85","27,811.95","979.14M","-1.75%"
"14-04-2019","28,419.55","28,351.35","28,639.70","28,262.65","698.83M","0.53%"
"07-04-2019","28,271.10","28,182.35","28,295.70","27,885.10","1.24B","0.45%"
"31-03-2019","28,143.05","28,450.65","28,544.20","27,864.05","1.39B","-0.49%"
"24-03-2019","28,281.90","27,606.70","28,307.05","27,353.00","1.58B","1.88%"
"17-03-2019","27,760.00","27,995.55","28,110.20","27,737.50","929.37M","-0.53%"
"10-03-2019","27,907.65","27,573.25","28,427.35","27,546.60","1.11B","1.64%"
"03-03-2019","27,458.20","26,884.00","27,714.55","26,867.15","918.28M","2.27%"
"24-02-2019","26,847.90","26,179.05","26,863.75","25,796.35","1.16B","2.88%"
"17-02-2019","26,097.55","25,490.00","26,124.00","25,131.55","798.21M","2.34%"
"10-02-2019","25,500.60","26,486.25","26,508.05","25,308.95","861.66M","-3.90%"
"03-02-2019","26,536.60","26,820.95","27,011.40","26,257.00","849.41M","-1.09%"
"27-01-2019","26,828.20","26,868.45","27,046.25","26,162.50","927.36M","-0.15%"
"20-01-2019","26,868.30","27,441.30","27,617.40","26,751.60","743.66M","-1.98%"
"13-01-2019","27,410.55","27,653.70","27,848.55","27,335.20","568.62M","-1.07%"
"06-01-2019","27,707.55","27,893.95","27,932.00","27,470.90","660.43M","-0.04%"
