"Date","Price","Open","High","Low","Vol.","Change %"
"04-12-2022","12,181.60","12,331.50","12,332.10","12,090.30","","-0.88%"
"27-11-2022","12,289.60","11,950.15","12,297.50","11,944.25","","2.90%"
"20-11-2022","11,943.55","11,719.00","11,953.80","11,681.85","","1.91%"
"13-11-2022","11,719.95","11,899.60","11,930.70","11,653.35","","-1.50%"
"06-11-2022","11,898.55","12,038.40","12,117.55","11,835.20","","-0.66%"
"30-10-2022","11,978.15","11,767.25","12,035.35","11,766.50","","2.24%"
"23-10-2022","11,715.55","11,761.90","11,823.45","11,641.00","","0.67%"
"16-10-2022","11,637.60","11,561.85","11,791.65","11,472.80","","0.40%"
"09-10-2022","11,591.65","11,778.35","11,832.00","11,529.55","","-2.62%"
"02-10-2022","11,903.05","11,658.95","11,963.80","11,481.05","","2.13%"
"25-09-2022","11,654.45","11,711.10","11,715.50","11,371.60","","-1.33%"
"18-09-2022","11,811.90","11,954.50","12,194.50","11,798.70","","-1.02%"
"11-09-2022","11,933.30","12,184.00","12,314.10","11,863.00","","-1.62%"
"04-09-2022","12,129.45","11,900.70","12,195.75","11,896.85","","2.22%"
"28-08-2022","11,865.55","11,418.15","11,982.75","11,417.35","","1.15%"
"21-08-2022","11,730.60","11,670.25","11,801.30","11,391.50","","0.25%"
"14-08-2022","11,701.35","11,683.55","11,903.20","11,669.05","","0.66%"
"07-08-2022","11,624.60","11,465.45","11,641.80","11,416.40","","1.49%"
"31-07-2022","11,453.70","11,256.45","11,488.60","11,201.20","","2.31%"
"24-07-2022","11,194.70","10,995.65","11,206.85","10,829.40","","1.85%"
"17-07-2022","10,991.60","10,674.10","11,043.40","10,666.30","","3.76%"
"10-07-2022","10,593.65","10,445.90","10,605.30","10,426.05","","1.16%"
"03-07-2022","10,472.40","10,086.60","10,514.85","10,052.00","","3.92%"
"26-06-2022","10,077.75","10,104.80","10,155.60","9,937.85","","0.97%"
"19-06-2022","9,980.80","9,781.50","9,990.70","9,496.60","","2.13%"
"12-06-2022","9,772.25","10,216.15","10,228.00","9,699.65","","-5.86%"
"05-06-2022","10,381.05","10,540.30","10,547.60","10,343.75","","-1.59%"
"29-05-2022","10,548.85","10,478.10","10,798.65","10,471.15","","1.75%"
"22-05-2022","10,367.20","10,515.75","10,557.55","9,951.10","","-0.89%"
"15-05-2022","10,460.55","10,214.80","10,659.70","10,126.65","","2.94%"
"08-05-2022","10,161.85","10,642.00","10,651.75","9,979.45","","-5.31%"
"01-05-2022","10,731.30","11,125.35","11,216.00","10,653.35","","-4.20%"
"24-04-2022","11,201.95","11,262.35","11,379.25","11,114.00","","-1.32%"
"17-04-2022","11,352.15","11,453.20","11,519.60","11,166.60","","-1.52%"
"10-04-2022","11,527.40","11,706.60","11,775.45","11,444.85","","-1.20%"
"03-04-2022","11,666.85","11,332.60","11,717.75","11,330.25","","3.50%"
"27-03-2022","11,272.80","10,974.95","11,283.65","10,831.20","","3.01%"
"20-03-2022","10,943.65","10,943.05","11,032.75","10,743.40","","0.67%"
"13-03-2022","10,870.50","10,627.40","10,887.50","10,486.20","","2.51%"
"06-03-2022","10,604.65","10,160.80","10,665.15","9,990.35","","2.45%"
"27-02-2022","10,351.45","10,435.20","10,745.55","10,334.85","","-1.71%"
"20-02-2022","10,531.45","10,849.15","10,887.85","10,119.30","","-3.41%"
"13-02-2022","10,903.35","10,936.45","11,146.80","10,655.45","","-2.62%"
"06-02-2022","11,197.15","11,486.00","11,521.35","11,162.10","","-2.29%"
"30-01-2022","11,459.35","11,368.30","11,676.95","11,339.55","","1.93%"
"23-01-2022","11,242.35","11,547.70","11,556.15","10,834.75","","-2.68%"
"16-01-2022","11,551.65","12,063.70","12,138.20","11,474.00","","-4.02%"
"09-01-2022","12,036.10","11,790.25","12,070.40","11,778.15","","2.51%"
"02-01-2022","11,741.95","11,566.00","11,776.75","11,564.70","","1.72%"
"26-12-2021","11,543.55","11,192.25","11,554.45","11,101.75","","2.77%"
"19-12-2021","11,232.25","11,184.05","11,390.60","10,785.65","","-0.82%"
"12-12-2021","11,325.65","11,817.40","11,857.80","11,301.90","","-3.44%"
"05-12-2021","11,729.10","11,447.50","11,737.90","11,262.40","","2.65%"
"28-11-2021","11,426.85","11,155.75","11,534.55","10,886.40","","1.50%"
"21-11-2021","11,257.50","11,749.15","11,754.00","11,232.55","","-4.06%"
"14-11-2021","11,733.35","11,990.65","12,041.35","11,672.55","","-1.77%"
"07-11-2021","11,944.30","11,803.70","12,037.60","11,700.75","","1.57%"
"31-10-2021","11,759.45","11,440.40","11,770.50","11,410.35","","3.24%"
"24-10-2021","11,390.85","11,645.40","11,662.45","11,174.00","","-1.63%"
"17-10-2021","11,579.90","12,222.60","12,338.50","11,479.30","","-4.27%"
"10-10-2021","12,096.40","11,819.65","12,172.35","11,771.20","","2.77%"
"03-10-2021","11,770.30","11,440.35","11,792.65","11,428.40","","3.50%"
"26-09-2021","11,372.25","11,343.60","11,392.60","11,120.40","","0.70%"
"19-09-2021","11,293.15","11,136.05","11,451.70","10,864.10","","0.62%"
"12-09-2021","11,223.50","11,035.05","11,440.55","11,001.95","","1.78%"
"05-09-2021","11,027.00","10,966.90","11,032.70","10,868.50","","0.97%"
"29-08-2021","10,920.75","10,516.20","10,959.15","10,511.65","","4.37%"
"22-08-2021","10,463.60","10,348.00","10,479.30","10,093.10","","2.02%"
"15-08-2021","10,256.75","10,439.40","10,491.80","10,231.90","","-1.66%"
"08-08-2021","10,430.15","10,587.60","10,601.35","10,135.65","","-1.30%"
"01-08-2021","10,567.40","10,574.30","10,722.35","10,459.05","","0.58%"
"25-07-2021","10,506.15","10,441.40","10,549.85","10,217.40","","0.84%"
"18-07-2021","10,418.50","10,454.05","10,495.10","10,220.95","","-0.79%"
"11-07-2021","10,501.05","10,400.05","10,518.10","10,351.45","","1.66%"
"04-07-2021","10,329.35","10,269.75","10,376.50","10,239.30","","1.03%"
"27-06-2021","10,224.15","10,182.75","10,230.10","10,123.35","","0.86%"
